,ID,Link,Title,Price,Miles,Score,Motor,Drive_Type,Transmission,Color,Prior_Use,PreOwner_Amount,Features
0,1,https://www.carmax.com//car/24303916,2023 Tesla Model 3 ,"44,998",4K,7,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
1,2,https://www.carmax.com//car/23479432,2019 Chevrolet Bolt EV Premier,"25,998",31K,1,Electric,"Automatic
T",Silve,"Leased vehicle
Pri",Leased vehicle,1,"['Bose Sound System', 'Satellite Radio Ready', 'Air Conditioning', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather Seats', 'Rear Seat Heaters', 'AM/FM Stereo', 'Auxiliary Audio Input', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Remote Start', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Parking Sensors', 'Apple CarPlay', 'Lane Departure Warning', 'Blind Spot Monitor', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
2,3,https://www.carmax.com//car/24011334,2020 Tesla Model Y Long Range,"47,998",34K,8,Electric,All Wheel Drive,Automatic,White/Black,None,2 ,"['Satellite Radio Ready', 'Skylight(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Cross-Traffic Alert', 'Parking Sensors']"
3,4,https://www.carmax.com//car/23064599,2022 Hyundai Ioniq 5 SE,"47,998",7K,6,Electric,All Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Cloth Seats', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Apple CarPlay', 'Parking Sensors', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
4,5,https://www.carmax.com//car/24000453,2019 Volkswagen Golf Electric SE,"21,998",24K,5,Electric,Front Wheel Drive,Automatic,Gray/Black,Leased vehicle,1,"['Air Conditioning', 'Cloth Seats', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Automated Cruise Control', 'Android Auto', 'Apple CarPlay']"
5,6,https://www.carmax.com//car/23937611,2020 Jaguar I-Pace SE,"52,998",36K,9,Electric,All Wheel Drive,Automatic,Black/Gray,Leased vehicle,2 ,"['A/C Seat(s)', 'Air Conditioning', 'Automated Parking', 'Front Seat Heaters', 'Heated Steering Wheel', 'Power Hatch/Deck Lid', 'Rear Air Conditioning', 'Rear Seat Heaters', 'Cold Weather Package', 'Driver Assistance Package', 'Leather Seats', 'Memory Seat(s)', 'Skylight(s)', 'Auxiliary Audio Input', 'Meridian Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Lane Departure Warning', 'Automated Cruise Control', 'Parking Sensors', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
6,7,https://www.carmax.com//car/23974343,2022 Audi e-tron Premium,"58,998",17K,9,Electric,All Wheel Drive,Automatic,Black/Black,None,1,"['Air Conditioning', 'Rear Air Conditioning', 'Satellite Radio Ready', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
7,8,https://www.carmax.com//car/24301428,2021 Tesla Model 3 Standard Range Plus,"39,998",19K,A,Electric,Rear Wheel Drive,Automatic,Blue/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
8,9,https://www.carmax.com//car/24302326,2023 Tesla Model 3 ,"43,998",8K,A,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Auxiliary Audio Input', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
9,10,https://www.carmax.com//car/24302482,2021 Tesla Model 3 Performance,"45,998",13K,A,Electric,All Wheel Drive,Automatic,White/Black,None,1,"['Automated Parking', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
10,11,https://www.carmax.com//car/24139423,2019 Audi e-tron Premium Plus,"42,998",20K,P,Electric,All Wheel Drive,Automatic,Black/Black,Leased vehicle,1,"['A/C Seat(s)', 'Head Up Display', 'Driver Assistance Package', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Seat Massagers', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Automated Cruise Control', 'Lane Departure Warning', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
11,12,https://www.carmax.com//car/24387072,2021 Tesla Model Y Standard Range,"42,998",53K,A,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
12,13,https://www.carmax.com//car/22956313,2020 Tesla Model X Long Range Plus,"72,998",32K,9,Electric,All Wheel Drive,Automatic,Gray/Black,None,4 ,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Satellite Radio Ready', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Rear Spoiler', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
13,14,https://www.carmax.com//car/24063290,2019 Volkswagen Golf Electric SE,"21,998",26K,6,Electric,Front Wheel Drive,Automatic,Black/Black,None,1,"['Cruise Control', 'Air Conditioning', 'Cloth Seats', 'Front Seat Heaters', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Blind Spot Monitor', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay']"
14,15,https://www.carmax.com//car/24302320,2023 Chevrolet Bolt EUV LT,Price unavailable,6K,4,Electric,"Automatic
T",Whit,"None
Pri",None,1,"['Apple CarPlay', 'Lane Departure Warning']"
15,16,https://www.carmax.com//car/24301831,2020 Tesla Model 3 Standard Range Plus,"$34,998",42K,7,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
16,17,https://www.carmax.com//car/24287030,2022 Kia EV6 GT-Line,"$47,998",7K,A,Electric,Rear Wheel Drive,Automatic,White/Black,None,1,"['A/C Seat(s)', 'Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Sunroof(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Meridian Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Head Up Display', 'Navigation System', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Rear Spoiler', 'Traction Control', 'Automatic Transmission', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Lane Departure Warning', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
17,18,https://www.carmax.com//car/24119994,2019 Kia Niro Electric EX,"$29,998",15K,5,Electric,Front Wheel Drive,Automatic,White/Black,Leased vehicle,1,"['Air Conditioning', 'Leatherette & Cloth', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Apple CarPlay', 'Parking Sensors', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
18,19,https://www.carmax.com//car/24287930,2022 Tesla Model 3 ,"$41,998",18K,A,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
19,20,https://www.carmax.com//car/24286086,2019 Audi e-tron Prestige,"$48,998",23K,1,Electric,All Wheel Drive,Automatic,Gray/Black,None,2 ,"['A/C Seat(s)', 'Automated Parking', 'Cruise Control', 'Head Up Display', 'Air Conditioning', 'Front Seat Heaters', 'Leather Seats', 'Memory Seat(s)', 'Panoramic Sunroof', 'Seat Massagers', 'Sunroof(s)', 'Bang & Olufsen Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Rear Sunshade', 'Side Airbags', 'Universal Garage Door Opener', '20 Inch Plus Wheels', 'ABS Brakes', 'Adjustable Suspension', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Traction Control', '4WD/AWD', 'Automatic Transmission', 'Parking Sensors', 'Automated Cruise Control', 'Apple CarPlay', 'Blind Spot Monitor', 'Automated Cruise Control', 'Android Auto', 'Apple CarPlay', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Parking Sensors']"
20,21,https://www.carmax.com//car/24387012,2023 Mini Cooper Hardtop Electri SE,Price unavailable,3K,6,Electric,Front Wheel Drive,Automatic,Silver/Black,None,1,"['Parking Sensors', 'Apple CarPlay']"
21,22,https://www.carmax.com//car/24287976,2020 Nissan Leaf SL PLUS,"$25,998",25K,A,Electric,Front Wheel Drive,Automatic,Gray/Black,Leased vehicle,2 ,"['Air Conditioning', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leather & Suede Seats', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bose Sound System', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Automatic Highbeams', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'Universal Garage Door Opener', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Quick Charge Package', 'Quick Charge Package', 'Rear Defroster', 'Traction Control', 'Automatic Transmission', 'Automated Cruise Control', 'Apple CarPlay', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Lane Departure Warning', 'Parking Sensors']"
22,23,https://www.carmax.com//car/24387280,2019 Volkswagen Golf Electric SE,"$20,998",38K,A,Electric,Front Wheel Drive,Automatic,White/Black,None,1,"['Cruise Control', 'Driver Assistance Package', 'Air Conditioning', 'Cloth Seats', 'Front Seat Heaters', 'Auxiliary Audio Input', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Apple CarPlay', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Parking Sensors', 'Android Auto', 'Apple CarPlay']"
23,24,https://www.carmax.com//car/24120741,2019 Tesla Model 3 Standard Range,"$36,998",21K,A,Electric,Rear Wheel Drive,Automatic,Blue/Black,None,2 ,"['Air Conditioning', 'Leatherette Seats', 'Skylight(s)', 'AM/FM Stereo', 'Auxiliary Audio Input', 'Bluetooth Technology', 'Navigation System', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
24,25,https://www.carmax.com//car/24288185,2019 Volkswagen Golf Electric SE,"$20,998",39K,A,Electric,Front Wheel Drive,Automatic,Gray/Black,Leased vehicle,1,"['Cruise Control', 'Driver Assistance Package', 'Air Conditioning', 'Cloth Seats', 'Front Seat Heaters', 'CD Audio', 'Satellite Radio Ready', 'SiriusXM Trial Available', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Blind Spot Monitor', 'Apple CarPlay', 'Automated Cruise Control', 'Blind Spot Monitor', 'Android Auto', 'Apple CarPlay']"
25,26,https://www.carmax.com//car/24304341,2021 Tesla Model 3 Standard Range Plus,"$41,998",11K,7,Electric,Rear Wheel Drive,Automatic,White/White,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'AM/FM Stereo', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Rear Spoiler', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
26,27,https://www.carmax.com//car/24303524,2021 Tesla Model 3 Standard Range Plus,"$38,998",25K,A,Electric,Rear Wheel Drive,Automatic,Gray/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
27,28,https://www.carmax.com//car/24145490,2020 Tesla Model 3 Standard Range Plus,"$36,998",21K,7,Electric,Rear Wheel Drive,Automatic,White/Black,None,2 ,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Leatherette Seats', 'Memory Seat(s)', 'Skylight(s)', 'Auxiliary Audio Input', 'Automatic Highbeams', 'Bluetooth Technology', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
28,29,https://www.carmax.com//car/24207501,2019 Tesla Model 3 Mid Range,Price unavailable,28K,6,Electric,Rear Wheel Drive,Automatic,Black/Black,None,1,"['Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor']"
29,30,https://www.carmax.com//car/24303874,2022 Tesla Model Y Long Range,"$54,998",5K,A,Electric,All Wheel Drive,Automatic,White/White,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Leatherette Seats', 'Skylight(s)', 'Automatic Highbeams', 'Bluetooth Technology', 'Cruise Control', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Power Locks', 'Power Mirrors', 'Power Windows', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Fog Lamps', 'Power Hatch/Deck Lid', 'Rear Defroster', '4WD/AWD', 'Automatic Transmission', 'Automated Cruise Control', 'Parking Sensors', 'Blind Spot Monitor', 'Lane Departure Warning', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
30,31,https://www.carmax.com//car/24303807,2023 Tesla Model 3 ,"$44,998",6K,A,Electric,Rear Wheel Drive,Automatic,Pearl/Black,None,1,"['Air Conditioning', 'Driver Adjustable Lumbar', 'Front Seat Heaters', 'Heated Steering Wheel', 'Leatherette Seats', 'Memory Seat(s)', 'Rear Seat Heaters', 'Automated Parking', 'Automatic Highbeams', 'Bluetooth Technology', 'Rain Sensing Wipers', 'Rear View Camera', 'Smart Key', 'WiFi Hotspot', 'Overhead Airbags', 'Power Locks', 'Power Mirrors', 'Power Seat(s)', 'Power Windows', 'Side Airbags', 'ABS Brakes', 'Alloy Wheels', 'Daytime Running Lights', 'Power Hatch/Deck Lid', 'Rear Defroster', 'Automatic Transmission', 'Automated Cruise Control', 'Lane Departure Warning', 'Parking Sensors', 'Blind Spot Monitor', 'Automated Cruise Control', 'Blind Spot Monitor', 'Cross-Traffic Alert', 'Lane Departure Warning', 'Parking Sensors']"
